Time Bucket,Holiday,Working Day,Temp (F),Perceived Temp (F),Relative Humidity (%),Wind Speed,App Trips,Outside App Trips,Season ID,Weather ID
1/1/2019 0:00,0,0,49.712,57.911,81,0.0,3,13,1,3
1/1/2019 1:00,0,0,48.236,56.543,80,0.0,8,32,1,3
1/1/2019 2:00,0,0,48.236,56.543,80,0.0,5,27,1,3
1/1/2019 3:00,0,0,49.712,57.911,75,0.0,3,10,1,3
1/1/2019 4:00,0,0,49.712,57.911,75,0.0,0,1,1,3
1/1/2019 5:00,0,0,49.712,55.184,75,6.0032,0,1,1,0
1/1/2019 6:00,0,0,48.236,56.543,80,0.0,2,0,1,3
1/1/2019 7:00,0,0,46.76,55.184,86,0.0,1,2,1,3
1/1/2019 8:00,0,0,49.712,57.911,75,0.0,1,7,1,3
1/1/2019 9:00,0,0,55.616,63.365,76,0.0,8,6,1,3
1/1/2019 10:00,0,0,60.044,67.451,76,16.9979,12,24,1,3
1/1/2019 11:00,0,0,58.568,61.997,81,19.0012,26,30,1,3
1/1/2019 12:00,0,0,62.996,70.178,77,19.0012,29,55,1,3
1/1/2019 13:00,0,0,65.948,72.905,72,19.9995,47,47,1,0
1/1/2019 14:00,0,0,65.948,72.905,72,19.0012,35,71,1,0
1/1/2019 15:00,0,0,64.472,71.546,77,19.9995,40,70,1,0
1/1/2019 16:00,0,0,62.996,70.178,82,19.9995,41,52,1,0
1/1/2019 17:00,0,0,64.472,71.546,82,19.0012,15,52,1,0
1/1/2019 18:00,0,0,62.996,70.178,88,16.9979,9,26,1,2
1/1/2019 19:00,0,0,62.996,70.178,88,16.9979,6,31,1,2
1/1/2019 20:00,0,0,61.52,68.819,87,16.9979,11,25,1,0
1/1/2019 21:00,0,0,61.52,68.819,87,12.998,3,31,1,0
1/1/2019 22:00,0,0,61.52,68.819,94,15.0013,11,17,1,0
1/1/2019 23:00,0,0,65.948,72.905,88,19.9995,15,24,1,0
1/2/2019 0:00,0,0,65.948,72.905,88,19.9995,4,13,1,0
